locus_tag	ftype	length_bp	gene	EC_number	COG	product
AHKFPPHE_00001	CDS	309	mntP_1		COG1971	putative manganese efflux pump MntP
AHKFPPHE_00002	CDS	108				hypothetical protein
AHKFPPHE_00003	CDS	690				hypothetical protein
AHKFPPHE_00004	CDS	1134				hypothetical protein
AHKFPPHE_00005	CDS	291				hypothetical protein
AHKFPPHE_00006	CDS	144				hypothetical protein
AHKFPPHE_00007	CDS	816				hypothetical protein
AHKFPPHE_00008	CDS	303				hypothetical protein
AHKFPPHE_00009	CDS	285				hypothetical protein
AHKFPPHE_00010	CDS	390				hypothetical protein
AHKFPPHE_00011	CDS	291				hypothetical protein
AHKFPPHE_00012	CDS	297				hypothetical protein
AHKFPPHE_00013	CDS	324				hypothetical protein
AHKFPPHE_00014	CDS	369				hypothetical protein
AHKFPPHE_00015	CDS	573	polC_1	2.7.7.7		DNA polymerase III PolC-type
AHKFPPHE_00016	CDS	861				hypothetical protein
AHKFPPHE_00017	CDS	366				hypothetical protein
AHKFPPHE_00018	CDS	306				hypothetical protein
AHKFPPHE_00019	CDS	429				hypothetical protein
AHKFPPHE_00020	CDS	207				hypothetical protein
AHKFPPHE_00021	CDS	249				hypothetical protein
AHKFPPHE_00022	CDS	294				hypothetical protein
AHKFPPHE_00023	CDS	198				hypothetical protein
AHKFPPHE_00024	CDS	411				hypothetical protein
AHKFPPHE_00025	CDS	738				hypothetical protein
AHKFPPHE_00026	CDS	417				hypothetical protein
AHKFPPHE_00027	CDS	237				hypothetical protein
AHKFPPHE_00028	CDS	897	traC_1	2.7.7.-		DNA primase TraC
AHKFPPHE_00029	CDS	1497				hypothetical protein
AHKFPPHE_00030	CDS	456				hypothetical protein
AHKFPPHE_00031	CDS	321				hypothetical protein
AHKFPPHE_00032	CDS	546				hypothetical protein
AHKFPPHE_00033	CDS	435				hypothetical protein
AHKFPPHE_00034	CDS	249				hypothetical protein
AHKFPPHE_00035	CDS	786				hypothetical protein
AHKFPPHE_00036	CDS	354				hypothetical protein
AHKFPPHE_00037	CDS	1038				hypothetical protein
AHKFPPHE_00038	CDS	639				hypothetical protein
